The Witcher 3: Wild Hunt,2015,59.99,"Um RPG de mundo aberto aclamado pela crítica.",CD Projekt Red,RPG
Grand Theft Auto V,2013,29.99,"Um jogo de ação e aventura em mundo aberto.",Rockstar Games,Ação
Red Dead Redemption 2,2018,59.99,"Um épico de faroeste da Rockstar Games.",Rockstar Games,Ação
The Legend of Zelda: Breath of the Wild,2017,59.99,"Um jogo de ação e aventura com um vasto mundo para explorar.",Nintendo,Aventura
Minecraft,2011,26.95,"Um jogo sandbox onde você pode construir qualquer coisa que imaginar.",Mojang,Sandbox
Stardew Valley,2016,14.99,"Um RPG de simulação de fazenda.",ConcernedApe,Simulação
Portal 2,2011,9.99,"Um jogo de quebra-cabeça em primeira pessoa.",Valve,Puzzle
Half-Life: Alyx,2020,59.99,"Um jogo de realidade virtual que se passa entre os eventos de Half-Life e Half-Life 2.",Valve,VR
Cyberpunk 2077,2020,59.99,"Um RPG de ação e aventura em mundo aberto da CD Projekt Red.",CD Projekt Red,RPG
Among Us,2018,4.99,"Um jogo de dedução social multiplayer online.",Innersloth,Social
A Lenda do Herói,2016,59.99,"Jogo de aventura e quebra-cabeça.",Dumativa,Plataforma
Enigma do Medo,2024,79.99,"Jogo de aventura e quebra-cabeça de terror.",Dumativa,Puzzle
Horizon Zero Dawn,2017,49.99,"RPG de ação em um mundo pós-apocalíptico.",Guerrilla Games,RPG
Bloodborne,2015,19.99,"RPG de ação sombrio e desafiador.",FromSoftware,RPG
Call of Duty: Modern Warfare,2019,59.99,"Jogo de tiro em primeira pessoa.",Infinity Ward,Tiro
Sekiro: Shadows Die Twice,2019,59.99,"Jogo de ação e aventura com combate intenso.",FromSoftware,Ação
The Elder Scrolls V: Skyrim,2011,39.99,"RPG de mundo aberto com dragões e magia.",Bethesda Game Studios,RPG
Fallout 4,2015,29.99,"RPG de mundo aberto em um cenário pós-apocalíptico.",Bethesda Game Studios,RPG
Resident Evil 7: Biohazard,2017,19.99,"Jogo de terror de sobrevivência em primeira pessoa.",Capcom,Horror
Monster Hunter: World,2018,29.99,"RPG de ação onde você caça monstros gigantes.",Capcom,RPG
Persona 5 Royal,2019,59.99,"RPG estiloso com elementos de simulação social.",Atlus,RPG
Yakuza: Like a Dragon,2020,59.99,"RPG baseado em turnos com uma história cativante.",Ryu Ga Gotoku Studio,RPG
